STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VEN,WB_WDI_EG_ELC_ACCS_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,Access to electricity (% of population),0,WB_WDI,PU,98.8,A,Annual,"Venezuela, RB",Access to electricity (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VNM,WB_WDI_EG_ELC_ACCS_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,Access to electricity (% of population),0,WB_WDI,PU,99.0,A,Annual,Vietnam,Access to electricity (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VIR,WB_WDI_EG_ELC_ACCS_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,Access to electricity (% of population),0,WB_WDI,PU,100.0,A,Annual,Virgin Islands (U.S.),Access to electricity (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_EG_ELC_ACCS_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,Access to electricity (% of population),0,WB_WDI,PU,99.7,A,Annual,West Bank and Gaza,Access to electricity (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_EG_ELC_ACCS_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,Access to electricity (% of population),0,WB_WDI,PU,62.0,A,Annual,"Yemen, Rep.",Access to electricity (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_EG_ELC_ACCS_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,Access to electricity (% of population),0,WB_WDI,PU,28.3,A,Annual,Zambia,Access to electricity (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_EG_ELC_ACCS_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,Access to electricity (% of population),0,WB_WDI,PU,36.9,A,Annual,Zimbabwe,Access to electricity (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,WB_WDI_EG_ELC_ACCS_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,2012,_Z,RATIO,2,WB_WDI,P1Y,Access to electricity (% of population),0,WB_WDI,PU,31.67342746191754,A,Annual,Eastern & Southern Africa,Access to electricity (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_EG_ELC_ACCS_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,2012,_Z,RATIO,2,WB_WDI,P1Y,Access to electricity (% of population),0,WB_WDI,PU,44.18650034749683,A,Annual,Western & Central Africa,Access to electricity (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARB,WB_WDI_EG_ELC_ACCS_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,2012,_Z,RATIO,2,WB_WDI,P1Y,Access to electricity (% of population),0,WB_WDI,PU,86.84786696514067,A,Annual,Arab World,Access to electricity (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
