STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VEN,WB_WDI_EG_USE_PCAP_KG_OE,_T,_T,_T,KG_PS,_Z,_Z,_Z,2011,_Z,NUMBER,2,WB_WDI,P1Y,Energy use (kg of oil equivalent per capita),0,WB_WDI,PU,2309.2224463328107,A,Annual,"Venezuela, RB",Energy use (kg of oil equivalent per capita),Total,All age ranges or no breakdown by age,Total,Kilograms per person,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VNM,WB_WDI_EG_USE_PCAP_KG_OE,_T,_T,_T,KG_PS,_Z,_Z,_Z,2011,_Z,NUMBER,2,WB_WDI,P1Y,Energy use (kg of oil equivalent per capita),0,WB_WDI,PU,663.5744401407039,A,Annual,Vietnam,Energy use (kg of oil equivalent per capita),Total,All age ranges or no breakdown by age,Total,Kilograms per person,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_EG_USE_PCAP_KG_OE,_T,_T,_T,KG_PS,_Z,_Z,_Z,2011,_Z,NUMBER,2,WB_WDI,P1Y,Energy use (kg of oil equivalent per capita),0,WB_WDI,PU,240.19242862750238,A,Annual,"Yemen, Rep.",Energy use (kg of oil equivalent per capita),Total,All age ranges or no breakdown by age,Total,Kilograms per person,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_EG_USE_PCAP_KG_OE,_T,_T,_T,KG_PS,_Z,_Z,_Z,2011,_Z,NUMBER,2,WB_WDI,P1Y,Energy use (kg of oil equivalent per capita),0,WB_WDI,PU,646.079173071802,A,Annual,Zambia,Energy use (kg of oil equivalent per capita),Total,All age ranges or no breakdown by age,Total,Kilograms per person,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_EG_USE_PCAP_KG_OE,_T,_T,_T,KG_PS,_Z,_Z,_Z,2011,_Z,NUMBER,2,WB_WDI,P1Y,Energy use (kg of oil equivalent per capita),0,WB_WDI,PU,444.8069627480297,A,Annual,Zimbabwe,Energy use (kg of oil equivalent per capita),Total,All age ranges or no breakdown by age,Total,Kilograms per person,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,WB_WDI_EG_USE_PCAP_KG_OE,_T,_T,_T,KG_PS,_Z,_Z,_Z,2012,_Z,NUMBER,2,WB_WDI,P1Y,Energy use (kg of oil equivalent per capita),0,WB_WDI,PU,610.8042366399064,A,Annual,Eastern & Southern Africa,Energy use (kg of oil equivalent per capita),Total,All age ranges or no breakdown by age,Total,Kilograms per person,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_EG_USE_PCAP_KG_OE,_T,_T,_T,KG_PS,_Z,_Z,_Z,2012,_Z,NUMBER,2,WB_WDI,P1Y,Energy use (kg of oil equivalent per capita),0,WB_WDI,PU,353.413958029407,A,Annual,Western & Central Africa,Energy use (kg of oil equivalent per capita),Total,All age ranges or no breakdown by age,Total,Kilograms per person,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARB,WB_WDI_EG_USE_PCAP_KG_OE,_T,_T,_T,KG_PS,_Z,_Z,_Z,2012,_Z,NUMBER,2,WB_WDI,P1Y,Energy use (kg of oil equivalent per capita),0,WB_WDI,PU,1794.3980112392667,A,Annual,Arab World,Energy use (kg of oil equivalent per capita),Total,All age ranges or no breakdown by age,Total,Kilograms per person,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_EG_USE_PCAP_KG_OE,_T,_T,_T,KG_PS,_Z,_Z,_Z,2012,_Z,NUMBER,2,WB_WDI,P1Y,Energy use (kg of oil equivalent per capita),0,WB_WDI,PU,2585.095984289275,A,Annual,Central Europe and the Baltics,Energy use (kg of oil equivalent per capita),Total,All age ranges or no breakdown by age,Total,Kilograms per person,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_EG_USE_PCAP_KG_OE,_T,_T,_T,KG_PS,_Z,_Z,_Z,2009,_Z,NUMBER,2,WB_WDI,P1Y,Energy use (kg of oil equivalent per capita),0,WB_WDI,PU,311.0805625593558,A,Annual,"Yemen, Rep.",Energy use (kg of oil equivalent per capita),Total,All age ranges or no breakdown by age,Total,Kilograms per person,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
