iso_code,country,year,co2_per_capita,co2_growth_rate,coal_share,renewables_share,anomaly_score,is_anomaly
ABW,Aruba,2000,26.787,193.58024691358025,12.571496770996148,0.0,-0.06416178458440802,1
ABW,Aruba,2008,27.157,-5.848989719957465,12.571496770996148,0.0,-0.006324503589806962,1
AFG,Afghanistan,2008,0.161,51.928571428571416,25.317348377997178,0.3526093088857465,-0.012450085439545178,1
AGO,Angola,1994,0.857,97.51217814892136,12.571496770996148,60.91781907865763,-0.0852526443616578,1
AGO,Angola,1995,0.921,11.1336210693209,12.571496770996148,67.82119362764524,-0.0046968969381817605,1
AGO,Angola,1996,1.076,20.8607434413886,12.571496770996148,71.69650468883205,-0.020411710212953516,1
AGO,Angola,1997,1.083,4.16420748901567,12.571496770996148,72.31805590531353,-0.0004098865890000969,1
AGO,Angola,1998,1.089,3.959959707882144,12.571496770996148,76.6971477018107,-0.003404784162766905,1
AGO,Angola,2000,0.988,-7.334453392039864,12.571496770996148,70.28446389496717,-0.003206335047507891,1
AGO,Angola,2005,0.798,-9.573342736248224,12.571496770996148,61.11652693832456,-0.002598951093409241,1
AGO,Angola,2016,0.873,-7.413197600436272,12.571496770996148,38.47875598837666,-0.00024997276783778055,1
ARE,United Arab Emirates,1990,27.346,1.9077901430842648,12.571496770996148,6.902596902211613,-0.07191072828578982,1
ARE,United Arab Emirates,1993,29.626,13.493664339281075,12.571496770996148,4.171223720986745,-0.08826288329486653,1
ARE,United Arab Emirates,1994,32.364,14.458014339530934,12.571496770996148,7.327140013271389,-0.09447872411650249,1
ARE,United Arab Emirates,1995,29.932,-3.285998672859991,12.571496770996148,8.141449625380787,-0.056429193888405504,1
ARE,United Arab Emirates,1996,29.195,4.064549770837345,12.571496770996148,8.183448494118892,-0.04606984441091255,1
ARE,United Arab Emirates,1997,26.016,-3.3466955008175536,12.571496770996148,7.092962973068836,-0.018656677122888654,1
ARE,United Arab Emirates,1998,26.517,9.996179977625586,12.571496770996148,6.9469767441860455,-0.025608698598587276,1
ARE,United Arab Emirates,2000,32.138,44.23333847181543,12.571496770996148,4.7462971044826645,-0.05091627725443404,1
ARE,United Arab Emirates,2002,21.536,-16.37257595980216,0.4212972199077606,5.889946369685362,-0.016232175517606806,1
ARE,United Arab Emirates,2003,25.547,25.6920892352106,0.3930685489141599,5.200455623401126,-0.010885945730490842,1
