iso_code,country,year,metric,value,z_score,mean,std
ARE,United Arab Emirates,1990,co2_per_capita,27.346,3.6072492982216975,4.997634615384616,6.1954036267004575
CUW,Curacao,1990,co2_per_capita,30.813,4.166857712604611,4.997634615384616,6.1954036267004575
LUX,Luxembourg,1990,co2_per_capita,30.938,4.187033960599381,4.997634615384616,6.1954036267004575
QAT,Qatar,1990,co2_per_capita,25.962,3.3838578804236144,4.997634615384616,6.1954036267004575
AGO,Angola,1990,renewables_share,31.512770137524555,3.1703613695087807,5.011258840989795,8.359145285901882
BOL,Bolivia,1990,renewables_share,53.07446596126972,5.74977530314504,5.011258840989795,8.359145285901882
BTN,Bhutan,1990,renewables_share,30.64516129032259,3.066569795427011,5.011258840989795,8.359145285901882
GAB,Gabon,1990,renewables_share,76.56633221850613,8.56009447499346,5.011258840989795,8.359145285901882
TGO,Togo,1990,renewables_share,41.20654396728016,4.330022255664766,5.011258840989795,8.359145285901882
KWT,Kuwait,1991,co2_per_capita,364.791,13.951570358778485,6.589827751196172,25.67461318240922
AGO,Angola,1991,renewables_share,33.55055292259084,3.510349915424868,4.821758594116344,8.184025815271855
BOL,Bolivia,1991,renewables_share,54.41652389110984,6.059947318891254,4.821758594116344,8.184025815271855
BTN,Bhutan,1991,renewables_share,30.64516129032259,3.1553422825253454,4.821758594116344,8.184025815271855
GAB,Gabon,1991,renewables_share,76.0061919504644,8.697972729205457,4.821758594116344,8.184025815271855
TGO,Togo,1991,renewables_share,38.19047619047618,4.077298672994399,4.821758594116344,8.184025815271855
ARE,United Arab Emirates,1992,co2_per_capita,27.429,3.4192850807856865,4.792800947867298,6.620155534656774
BRN,Brunei,1992,co2_per_capita,24.712,3.0088717625824515,4.792800947867298,6.620155534656774
LUX,Luxembourg,1992,co2_per_capita,31.098,3.9735016669055505,4.792800947867298,6.620155534656774
QAT,Qatar,1992,co2_per_capita,57.097,7.900750787246337,4.792800947867298,6.620155534656774
AGO,Angola,1992,renewables_share,35.01161890007745,3.80676723026525,4.613891890701557,7.985181433659085
BOL,Bolivia,1992,renewables_share,52.57142857142857,6.005816784397247,4.613891890701557,7.985181433659085
GAB,Gabon,1992,renewables_share,74.88305877567623,8.799946183912184,4.613891890701557,7.985181433659085
TGO,Togo,1992,renewables_share,35.92233009708737,3.920817387368894,4.613891890701557,7.985181433659085
ARE,United Arab Emirates,1993,co2_per_capita,29.626,3.393601650350188,4.938824644549763,7.274623806510334
BHR,Bahrain,1993,co2_per_capita,29.758,3.4117469185469935,4.938824644549763,7.274623806510334
CUW,Curacao,1993,co2_per_capita,31.523,3.6543711486027712,4.938824644549763,7.274623806510334
KWT,Kuwait,1993,co2_per_capita,29.401,3.362672215923814,4.938824644549763,7.274623806510334
LUX,Luxembourg,1993,co2_per_capita,31.062,3.5910001740669566,4.938824644549763,7.274623806510334
QAT,Qatar,1993,co2_per_capita,63.4,8.036315953978422,4.938824644549763,7.274623806510334
AGO,Angola,1993,renewables_share,30.132219902574803,3.273995831778259,4.4749092391842185,7.836696190738554
BOL,Bolivia,1993,renewables_share,51.76440062272963,6.034365787898269,4.4749092391842185,7.836696190738554
BTN,Bhutan,1993,renewables_share,29.670329670329664,3.2150564240223476,4.4749092391842185,7.836696190738554
GAB,Gabon,1993,renewables_share,74.15075376884423,8.890971760778895,4.4749092391842185,7.836696190738554
TGO,Togo,1993,renewables_share,35.54724041159962,3.964978406223892,4.4749092391842185,7.836696190738554
ARE,United Arab Emirates,1994,co2_per_capita,32.364,3.781416757818835,4.871483568075117,7.270427512407514
CUW,Curacao,1994,co2_per_capita,30.384,3.50908064049685,4.871483568075117,7.270427512407514
KWT,Kuwait,1994,co2_per_capita,34.406,4.062280571743831,4.871483568075117,7.270427512407514
LUX,Luxembourg,1994,co2_per_capita,28.624,3.267004091766197,4.871483568075117,7.270427512407514
QAT,Qatar,1994,co2_per_capita,64.819,8.24539084250824,4.871483568075117,7.270427512407514
AGO,Angola,1994,renewables_share,60.91781907865763,4.549528690593224,6.0273391985720615,12.065091488175286
CMR,Cameroon,1994,renewables_share,45.778688524590166,3.2947408119513613,6.0273391985720615,12.065091488175286
COG,Congo,1994,renewables_share,48.78841607565011,3.544198311217713,6.0273391985720615,12.065091488175286
GAB,Gabon,1994,renewables_share,80.1629238221048,6.144635098390368,6.0273391985720615,12.065091488175286
GNQ,Equatorial Guinea,1994,renewables_share,93.64664926022628,7.262216796907662,6.0273391985720615,12.065091488175286
NGA,Nigeria,1994,renewables_share,57.86087605774017,4.296157796231296,6.0273391985720615,12.065091488175286
ARE,United Arab Emirates,1995,co2_per_capita,29.932,3.560982524310311,4.804765258215962,7.056264547844324
CUW,Curacao,1995,co2_per_capita,30.259,3.6073243242503232,4.804765258215962,7.056264547844324
KWT,Kuwait,1995,co2_per_capita,33.46,4.060963778708971,4.804765258215962,7.056264547844324
QAT,Qatar,1995,co2_per_capita,64.491,8.45861635956068,4.804765258215962,7.056264547844324
AGO,Angola,1995,renewables_share,67.82119362764524,5.017170206981284,6.062799555839017,12.309407798418073
CMR,Cameroon,1995,renewables_share,44.57674418604651,3.128821894677749,6.062799555839017,12.309407798418073
COG,Congo,1995,renewables_share,64.43410852713178,4.742007895684005,6.062799555839017,12.309407798418073
GAB,Gabon,1995,renewables_share,78.5632183908046,5.889838083379028,6.062799555839017,12.309407798418073
GNQ,Equatorial Guinea,1995,renewables_share,93.37694194603434,7.0932853813988,6.062799555839017,12.309407798418073
NGA,Nigeria,1995,renewables_share,61.58613320669595,4.510642149494181,6.062799555839017,12.309407798418073
ARE,United Arab Emirates,1996,co2_per_capita,29.195,3.455530610178997,4.876849765258216,7.037457623181669
BHR,Bahrain,1996,co2_per_capita,26.195,3.029240299013516,4.876849765258216,7.037457623181669
CUW,Curacao,1996,co2_per_capita,28.515,3.3589048063148215,4.876849765258216,7.037457623181669
KWT,Kuwait,1996,co2_per_capita,29.919,3.558408671940266,4.876849765258216,7.037457623181669
QAT,Qatar,1996,co2_per_capita,65.162,8.56632515074195,4.876849765258216,7.037457623181669
AGO,Angola,1996,renewables_share,71.69650468883205,5.296837145714889,6.1676570431400215,12.371316286116988
COG,Congo,1996,renewables_share,67.32722318553381,4.943658760953889,6.1676570431400215,12.371316286116988
