iso_code,country,year,co2,co2_yoy_pct,spike_direction
ABW,Aruba,2000,2.378,193.58024691358025,SPIKE_UP
AFG,Afghanistan,2005,1.89,52.78900565885205,SPIKE_UP
AFG,Afghanistan,2008,4.254,51.928571428571416,SPIKE_UP
AFG,Afghanistan,2009,6.388,50.16455101081336,SPIKE_UP
AGO,Angola,1994,11.353,97.51217814892135,SPIKE_UP
ALB,Albania,1999,2.986,70.14245014245017,SPIKE_UP
ARM,Armenia,1993,2.51,-56.149545772187295,SPIKE_DOWN
BDI,Burundi,2010,0.333,54.16666666666667,SPIKE_UP
BES,Bonaire Sint Eustatius and Saba,1993,0.091,54.23728813559323,SPIKE_UP
BES,Bonaire Sint Eustatius and Saba,1998,0.005,-94.04761904761905,SPIKE_DOWN
BES,Bonaire Sint Eustatius and Saba,1999,0.035,600.0000000000001,SPIKE_UP
BES,Bonaire Sint Eustatius and Saba,2000,0.093,165.7142857142857,SPIKE_UP
BHR,Bahrain,1993,16.748,61.007498557969654,SPIKE_UP
BIH,Bosnia and Herzegovina,1994,3.205,-74.52507749781417,SPIKE_DOWN
BIH,Bosnia and Herzegovina,1997,8.366,97.31132075471696,SPIKE_UP
BTN,Bhutan,2008,0.646,62.72040302267001,SPIKE_UP
CIV,Cote d'Ivoire,1995,6.225,50.61698524074521,SPIKE_UP
CMR,Cameroon,1994,4.88,70.27215631542218,SPIKE_UP
COG,Congo,1994,3.384,191.7241379310345,SPIKE_UP
CUW,Curacao,1993,4.87,54.35816164817751,SPIKE_UP
CUW,Curacao,1998,0.25,-94.47269511386249,SPIKE_DOWN
CUW,Curacao,1999,1.871,648.4,SPIKE_UP
CUW,Curacao,2000,4.964,165.3126670229824,SPIKE_UP
ECU,Ecuador,1995,23.534,64.1372576370484,SPIKE_UP
ERI,Eritrea,2003,0.78,53.241650294695475,SPIKE_UP
GEO,Georgia,1995,2.266,-61.573681532982874,SPIKE_DOWN
GEO,Georgia,1996,4.046,78.55251544571932,SPIKE_UP
