iso_code,country,risk_score,recommendations
AFG,Afghanistan,72.6,Reduce coal dependency (currently 36% of emissions) | Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 2.9%/yr) | Invest in climate adaptation infrastructure
CAF,Central African Republic,69.5,Increase renewable energy adoption (currently 0%) | Invest in climate adaptation infrastructure
SOM,Somalia,68.8,Increase renewable energy adoption (currently 0%) | Invest in climate adaptation infrastructure
MDG,Madagascar,68.6,Increase renewable energy adoption (currently 1%) | Invest in climate adaptation infrastructure
NER,Niger,68.1,Increase renewable energy adoption (currently 3%) | Invest in climate adaptation infrastructure
SLE,Sierra Leone,66.6,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 3.9%/yr) | Invest in climate adaptation infrastructure
GNB,Guinea-Bissau,66.2,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 4.0%/yr) | Invest in climate adaptation infrastructure
VAT,Vatican,66.1,Maintain current sustainability policies and monitor trends
CXR,Christmas Island,66.1,Maintain current sustainability policies and monitor trends
BDI,Burundi,65.9,Increase renewable energy adoption (currently 0%) | Invest in climate adaptation infrastructure
MWI,Malawi,65.3,Increase renewable energy adoption (currently 13%) | Invest in climate adaptation infrastructure
GIN,Guinea,65.2,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 3.9%/yr) | Invest in climate adaptation infrastructure
COD,Democratic Republic of Congo,65.1,Increase renewable energy adoption (currently 17%) | Invest in climate adaptation infrastructure
SMR,San Marino,65.0,Maintain current sustainability policies and monitor trends
MCO,Monaco,64.8,Maintain current sustainability policies and monitor trends
TCD,Chad,64.1,Invest in climate adaptation infrastructure
SDN,Sudan,63.5,Increase renewable energy adoption (currently 0%) | Invest in climate adaptation infrastructure
HTI,Haiti,62.9,Increase renewable energy adoption (currently 4%) | Implement emission reduction targets (growing at 3.7%/yr) | Invest in climate adaptation infrastructure
SSD,South Sudan,62.2,Increase renewable energy adoption (currently 0%)
UGA,Uganda,62.2,Increase renewable energy adoption (currently 10%) | Invest in climate adaptation infrastructure
BGD,Bangladesh,61.8,Increase renewable energy adoption (currently 1%) | Implement emission reduction targets (growing at 3.6%/yr) | Invest in climate adaptation infrastructure
CIV,Cote d'Ivoire,61.6,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 5.5%/yr)
SLB,Solomon Islands,61.6,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 4.6%/yr) | Invest in climate adaptation infrastructure
ERI,Eritrea,61.5,Increase renewable energy adoption (currently 9%) | Invest in climate adaptation infrastructure
GMB,Gambia,61.4,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 3.9%/yr) | Invest in climate adaptation infrastructure
LBR,Liberia,61.3,Implement emission reduction targets (growing at 3.0%/yr) | Invest in climate adaptation infrastructure
ETH,Ethiopia,61.0,Increase renewable energy adoption (currently 17%) | Invest in climate adaptation infrastructure
RWA,Rwanda,60.6,Increase renewable energy adoption (currently 15%) | Invest in climate adaptation infrastructure
ZWE,Zimbabwe,60.4,Reduce coal dependency (currently 62% of emissions) | Increase renewable energy adoption (currently 3%)
