iso_code,country,shap_co2_per_capita,shap_co2_growth_rate,shap_coal_share,shap_renewables_share,shap_energy_intensity,shap_temperature_anomaly,shap_sustainability_score
ABW,Aruba,-12.476131,0.45748714,-1.5549574,4.1627436,-5.3742566,-0.5038087,-1.0194758
AFG,Afghanistan,36.352444,0.4733681,1.4681911,6.4581313,-0.49416837,-0.82804143,0.68133634
AGO,Angola,16.703108,0.32333133,-7.77221,2.9077563,-4.5680604,-0.0069067553,-0.31348687
AIA,Anguilla,-11.2854,0.45418233,-1.426348,2.88775,-4.673346,-0.3538676,-0.884158
ALB,Albania,1.0521351,-0.36359093,-1.415255,2.378134,-5.024558,-1.2815738,0.10962974
AND,Andorra,-15.807785,0.36292583,-3.5437567,1.1091985,-7.6325307,-0.45111093,-0.796308
ARE,United Arab Emirates,-17.714777,0.6380985,-0.15307681,-0.51961225,-6.0496125,0.05852688,0.46091327
ARG,Argentina,-12.506295,-1.8851091,-1.0216055,-0.23030144,-14.521885,-1.3965393,1.2897763
ARM,Armenia,0.72842604,-0.4398092,-2.7142057,0.07629513,-5.9767194,-0.86616886,0.4313383
ATG,Antigua and Barbuda,-14.998053,0.39848092,-4.2476416,1.040162,-4.6784534,-0.25346994,-1.7390548
AUS,Australia,-18.40044,-0.11965454,1.7502142,1.2477182,-2.6893651,-0.70676637,0.7197534
AUT,Austria,-14.076926,-0.36310783,-0.72619283,-0.8783016,-3.6875885,-0.5629004,-1.424171
AZE,Azerbaijan,-13.034303,-2.117529,-0.7275043,-1.2028003,-15.45249,-2.0600915,-1.3098693
BDI,Burundi,42.2934,0.20762216,-1.5187824,2.0132573,-1.5515754,-1.5756336,-1.182628
BEL,Belgium,-16.595188,-0.38220897,-0.30983505,-1.8762261,-4.418422,-0.7137788,0.10943772
BEN,Benin,31.789654,0.29439762,-0.7225937,-0.25398818,-3.834085,-0.045240182,0.5153753
BES,Bonaire Sint Eustatius and Saba,-11.714482,0.6709837,-3.473131,-0.6989206,-6.0269947,-0.9587347,-0.9860326
BFA,Burkina Faso,30.512665,0.26247236,-1.792946,1.0236603,-3.7389197,-0.23108217,-0.7555941
BGD,Bangladesh,25.24924,0.2904544,1.2333732,4.2047396,-1.0639423,-0.24307457,-0.735052
BGR,Bulgaria,-10.628312,-1.7645856,1.2517134,1.1051033,-4.141351,-1.7495713,-0.041474134
BHR,Bahrain,-11.655473,-0.060719233,-0.8330773,3.5509264,-3.8958116,-0.023510259,-1.0031588
BHS,Bahamas,-14.61616,0.472897,-2.162573,3.6059406,-5.387108,-0.36489218,-0.8712718
BIH,Bosnia and Herzegovina,-12.941104,-0.8824041,3.7019863,-0.17289956,-5.03385,-0.30662355,3.0328743
BLR,Belarus,-15.088767,-0.21041659,-3.3797367,-0.016982323,-5.9374976,-0.4239293,-0.64446145
BLZ,Belize,3.8617446,0.4669252,-3.1628785,3.1413565,-4.471484,-0.79057306,-1.0346307
BMU,Bermuda,-12.476131,0.45748714,-1.5549574,4.1627436,-5.3742566,-0.5038087,-1.0194758
BOL,Bolivia,2.1745949,2.4472616,-2.531054,0.17104027,-3.9833007,-0.59322906,-0.22172399
BRA,Brazil,2.4278855,-0.20993619,-0.898344,-0.5165553,-2.9993691,-0.864518,-1.0092738
BRB,Barbados,-9.801526,0.63984054,-2.109536,0.7713101,-6.4243336,-0.30507377,-0.61659145
BRN,Brunei,-11.818436,-1.4766443,0.789919,2.37313,1.2405646,-0.09605051,-0.23274413
BTN,Bhutan,5.129944,0.65118927,4.3596654,4.4774866,-3.092154,-1.3195587,0.97749716
BWA,Botswana,5.8081927,0.8604505,2.8404572,0.72853863,-2.4092815,-0.9794641,1.918079
CAF,Central African Republic,44.201214,-0.056717414,-3.0650787,1.1900519,-2.5112662,-1.2631403,-0.70027906
